nct_id,source,condition,pmid,doi,title,publication_year,is_rct
NCT05471778,pubmed,anxiety disorders,36515211,10.1111/ans.18209,Effect of meditation music and comedy movie interventions on postoperative kinesiophobia and pain in patients undergoing total knee arthroplasty.,2023,True
NCT00616486,pubmed,anxiety disorders,27011177,10.3390/ijms17030420,Transcranial Magnetic Stimulation of the Supplementary Motor Area in the Treatment of Obsessive-Compulsive Disorder: A Multi-Site Study.,2016,True
NCT00021417,pubmed,anxiety disorders,25178520,10.1111/bjc.12065,Personality disorder moderates outcome in short- and long-term group analytic psychotherapy: A randomized clinical trial.,2015,True
NCT00436670,pubmed,anxiety disorders,20056900,10.1164/rccm.200909-1448OC,"A randomized, controlled, phase 2 study of AMG 317, an IL-4Ralpha antagonist, in patients with asthma.",2010,True
NCT03466112,pubmed,schizophrenia,38551773,10.1007/s00406-024-01789-w,Predictors of adherence to exercise interventions in people with schizophrenia.,2024,True
NCT02062190,pubmed,schizophrenia,26840331,10.3390/nu8020073,Resveratrol Supplementation in Schizophrenia Patients: A Randomized Clinical Trial Evaluating Serum Glucose and Cardiovascular Risk Factors.,2016,True
NCT02098408,pubmed,schizophrenia,25623736,10.1186/s13063-014-0542-8,The FOCUS trial: cognitive remediation plus standard treatment versus standard treatment for patients at ultra-high risk for psychosis: study protocol for a randomised controlled trial.,2015,True
NCT00518323,pubmed,schizophrenia,24559194,10.1186/1471-244X-14-52,Body mass index and metabolic parameters in patients with schizophrenia during long-term treatment with paliperidone palmitate.,2014,True
NCT00590577,pubmed,schizophrenia,21569242,10.1186/1471-244X-11-79,"Onset of efficacy and tolerability following the initiation dosing of long-acting paliperidone palmitate: post-hoc analyses of a randomized, double-blind clinical trial.",2011,True
NCT01196286,pubmed,schizophrenia,21226941,10.1186/1471-244X-11-9,Multifamily group psychoeducation and cognitive remediation for first-episode psychosis: a randomized controlled trial.,2011,True
NCT00916552,pubmed,bipolar disorder,20942940,10.1186/1745-6215-11-97,Effects of erythropoietin on depressive symptoms and neurocognitive deficits in depression and bipolar disorder.,2010,True
NCT04222816,crossref,bipolar disorder,,10.1111/bdi.13276,Effect of regulated add‐on sodium chloride intake on stabilization of serum lithium concentration in bipolar disorder: A randomized controlled trial,2023,True
NCT03703258,pubmed,PTSD,37011153,10.1037/tra0001460,Pilot randomized clinical trial of an app-based early intervention to reduce PTSD and alcohol use following sexual assault.,2024,True
NCT00211861,pubmed,PTSD,21194898,10.1016/j.euroneuro.2010.11.012,"A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial.",2011,True
NCT00725920,pubmed,PTSD,19480669,10.1186/1471-244X-9-28,"A randomized, double-blind, placebo-controlled trial to assess the efficacy of topiramate in the treatment of post-traumatic stress disorder.",2009,True
NCT05550922,crossref,pediatric asthma,,10.1111/pai.14101,The effectiveness of an education program based on healthcare transition in adolescents with asthma: A randomized controlled trial,2024,True
NCT00107692,pubmed,childhood obesity,19437180,10.3109/17477160902957158,The impact of a child obesity treatment intervention on parent child-feeding practices.,2010,True
NCT00253747,pubmed,ADHD,22955246,10.1093/ntr/nts152,Osmotic release oral system methylphenidate prevents weight gain during a smoking-cessation attempt in adults with ADHD.,2013,True
NCT00937469,pubmed,ADHD,21255399,10.1186/1745-6215-12-18,Randomised social-skills training and parental training plus standard treatment versus standard treatment of children with attention deficit hyperactivity disorder - the SOSTRA trial protocol.,2011,True
