Study,Study.year
Hui 2005,2005
Jafari 2018,2018
Ismatullah 2013,2013
Eltabl 2020,2020
Fernandez-de-las-Penas 2015,2015
Fernandez-de-las-Penas 2017b,2017
Fernandez-de-las-Penas 2017a,2017
Jarvik 2009,2009
Zhang 2019,2019
Jenkins 1976,1976
Kurniawati 2020,2020
Konno 2016,2016
Skljarevski 2009a,2009
Skljarevski 2010a,2010
Skljarevski 2010b,2010
Atkinson 1999,1999
Atkinson 2007,2007
Dickens 2000,2000
Goodkin 1990,1990
Atkinson 1998,1998
Gould 2020,2020
Urquhart 2018,2018
Afilal 2020,2020
Pirbudak 2003,2003
Vanelderen 2015,2015
Marks 2014,2014
Katz 2005,2005
Alcoff 1982,1982
Schukro 2016,2016
Hughes 2008,2008
Mendell 2001,2001
Vermeulen 1993,1993
Hahn 1996,1996
Thompson 1996,1996
Dyck 1994,1994
Hughes 2001,2001
Nobile-Orazio 2012,2012
Hennrikus 2005,2005
Kim 2019,2019
Bolman 2002,2002
Campos 2018,2018
Cherrington 2015a,2015
Chouinard 2005,2005
Croghan 2005,2005
Hajek 2002,2002
Kumar 2017,2017
Meysman 2010,2010
Molyneux 2003,2003
Nagle 2005,2005
Pederson 1991,1991
Pelletier 1998,1998
Matuszewski 2020,2020
Miller 1997,1997
Ortigosa 2000,2000
Rigotti 1994,1994
Rigotti 1997,1997
Stevens 1993,1993
Stevens 2000,2000
Berndt 2017a,2017
Borglykke 2008,2008
CASIS 1992,1992
Caruthers 2006,2006
Cossette 2011,2011
De Azevedo 2010,2010
DeBusk 1994,1994
Dornelas 2000,2000
Froelicher 2004,2004
Hasuo 2004,2004
Jimeno 2022,2022
Lacasse 2008,2006
Lewis 1998,1998
Mohiuddin 2007,2007
Pedersen 2005,2005
Quist-Paulsen 2003,2003
Reid 2003,2003
Reid 2007,2007
Simon 1997,1997
Simon 2003,2003
Smith 2009b,2009
Smith 2011,2011
Taylor 1990,1990
Vial 2002,2002
Campbell 1991,1991
Campbell 1996,1996
Cummins 2016a,2016
Hasan 2014a,2014
Ortega 2011a,2011
Carson-Chahhoud 2020,2020
Le Mao 2020,2020
Steinberg 2011,2011
Windle 2018,2018
Eisenberg 2013a,2013
Planer 2011,2011
Rigotti 2006,2006
Simon 2009a,2009
Garcia-Pazo 2021,2021
Harrington 2016,2016
Hornnes 2014a,2014
Park 2015,2015
Reid 2019,2019
Suner-Soler 2022,2022
Brandstein 2012,2012
Brunner-Frandsen 2012,2012
Rigotti 2014a,2014
Rigotti 2016a,2016
Rigotti 2022,2022
Sherman 2016a,2016
Thomas 2016a,2016
Warner 2016a,2016
Binnie 1989,1989
Boas 1996,1996
Jawad 1989,1989
Loiseau 1990,1990
Messenheimer 1994,1994
Schapel 1993,1993
Schmidt 1993,1993
Smith 1993,1993
Matsuo 1993,1993
Naritoku 2007,2007
Baulac 2010,2010
Duchowny 1999,1999
Schachter 1995,1995
Piña-Garza 2008,2008
Aravind 2022,2022
Bai 2013,2013
Bek 2016,2016
Chang 2015,2015
Chen J 2014,2014
Chu 2003,2003
Dai 2015,2015
Fang 2003,2003
Fang YN 2004,2004
Green 2002,2002
Guo L 2012,2012
Holmgren 2006,2006
Hoseinabadi 2013,2013
Hou 2006,2006
Hou Zhi 2014,2014
Huang 2003,2003
Huang 2014,2014
Ji Pei 2014,2014
Koç 2015,2015
Li 1999,1999
Li Yuanzheng 2014,2014
Lu 2004,2004
Lu Liangyan 2014,2014
Pan 2004,2004
Pang 2006,2006
Wade 1992,1992
Wan Xueli 2014,2014
Wang 2013,2013
Wang 2015,2015
Wang 2022,2022
Wu 2006,2006
Wu 2020,2020
Xie 2003,2003
Xu 1999,1999
Xu 2003a,2003
Xu 2003b,2003
Xu 2004,2004
Xu 2022,2022
Xue 2006,2006
Yan 2002,2002
Yang Aiguo 2015,2015
Zhang 1998,1998
Zhang 2004,2004
Zhang Jianhong 2013,2013
Zhao 2003,2003
Zhao Ailiang 2016,2016
Zheng 2014,2014
Zhu 2006,2006
Zhu 2007,2007
Guo Z 2015,2015
Yan 2015,2015
ReTrain 2018,2018
Cheng 2021,""
