dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD011600_pub3_data,10.1002/14651858.CD011600.pub3,"cardiovascular, respiratory, infection",5,"Moderate-to-severe exacerbations (Rate) | Moderate-to-severe exacerbations (Time-to-first) | Moderate-to-severe exacerbations (≥ 1 exacerbation) | Moderate-to-severe exacerbations (Rate, stratified by eosinophil count) | Moderate-to-severe exacerbations (Rate, stratified by baseline ICS use) | Severe exacerbations (Rate) | Severe exacerbations (Time-to-first) | All exacerbations (Rate) | Change in SGRQ | SGRQ, ≥ 4 decrease from baseline | SGRQ, end of study | Pneumonia | Pneumonia (Time-to-first) | Serious adverse events, pneumonia | Serious adverse event, all-cause | Change in E-RS | TDI, ≥ 1-unit increase | TDI (Focal score), over 24 weeks | Change in trough FEV1 (mL) | Trough FEV1, end of study (mL) | FEV1 AUC 0 to 4 (mL), end of study | Change in trough FVC (mL) | Death, all causes | Death, all causes (Time-to-event) | Death, cardiovascular causes | Death, respiratory causes | Death, COPD-related",cardiovascular OR respiratory OR infection
CD011624_pub3_data,10.1002/14651858.CD011624.pub3,"hypertension, diabetes, pregnancy",4,"Hypertensive disorders of pregnancy (including pre-eclampsia, pregnancy-induced hypertension, eclampsia) | Perinatal (foetal and neonatal) mortality | Large-for-gestational-age | Composite of mortality or serious morbidity (as defined by trial) | Caesarean section | Gestational weight gain | Induction of labour | Maternal hypoglycaemia | Mean daily fasting blood glucose mmol/L | Mean daily postprandial blood glucose | Glycated haemoglobin | Use of pharmacological therapy | Triglycerides mg/dL | NEFA mmol/L | Total cholesterol mg/dL | LDL mg/dL | HDL mg/dL | Breastfeeding | Adherence with treatment | Composite of serious maternal health outcomes | Stillbirth | Neonatal death | Macrosomia | Small-for-gestational-age | Shoulder dystocia | Gestational age at birth (weeks) | Birthweight | Birthweight z score | Head circumference | Head circumference z score | Length | Length z score | Infant hypoglycaemia | Neonatal jaundice (hyperbilirubinaemia) | Adiposity (% fat mass) | C-peptide ng/mL | Cord leptin/adiponectin ratio | ANGPTL4 in cord serum ng/mL | Cord adiponectin ng/mL | Cord leptin ng/mL | Admission to neonatal intensive care unit/nursery | Length of antenatal stay | Length of postnatal stay (maternal) | Length of postnatal stay (infant)",hypertension OR diabetes OR pregnancy
CD011626_pub3_data,10.1002/14651858.CD011626.pub3,"cardiovascular, gastrointestinal",6,Cardiac T2* value (ms) | Myocardial iron concentration (mg/g) | Left ventricular ejection fraction (%) | Serum ferritin (μg/mL) | Liver T2* value (ms) | Liver iron concentration (mg/g) | Adverse events | Cardiac T2* (ms),cardiovascular OR gastrointestinal
CD011627_pub3_data,10.1002/14651858.CD011627.pub3,"pain, dermatology",14,Number of participants with incontinence-associated dermatitis | Number of participants with intervention-related pain | Number of participants with intervention-related itch | Number of participants satisfied with skin care products or procedures for prevention of IAD ,pain OR dermatology
CD011670_pub3_data,10.1002/14651858.CD011670.pub3,"infection, gastrointestinal",8,Overall morbidity | Wound infection | Abdominal abscess | Bowel obstruction | Faecal fistula | Unplanned bowel resection | Total length of hospital stay (days) | Time away from normal activities (days) | Quality of life (score on a scale from 0 to 100),infection OR gastrointestinal
CD011671_pub3_data,10.1002/14651858.CD011671.pub3,other,16,"Delayed graft function | Delayed graft function: type of donor | Delayed graft function: era of study | Delayed graft function: preservation times | Graft survival (12 month follow-up) | Graft survival (at maximum follow-up) | Primary non-function | Duration of delayed graft function | Patient survival (12 month follow up, time-to-event) | Patient survival (12-month follow up, dichotomous) | Acute rejection in the first year",other
CD011689_pub4_data,10.1002/14651858.CD011689.pub4,"hypertension, pregnancy, mental_health, pain, gastrointestinal",120,Death | PPH >= 1000 mL | Blood transfusion | Severe maternal morbidity: intensive care admissions | PPH >= 500 mL | Additional uterotonics | Blood loss | Change in haemoglobin | Breastfeeding | Nausea | Vomiting | Headache | Abdominal pain | Shivering | Fever | Maternal sense of well-being | Maternal satisfaction | Diarrhoea | Hypertension | Maternal well-being,hypertension OR pregnancy OR mental_health OR pain OR gastrointestinal
CD011762_pub2_data,10.1002/14651858.CD011762.pub2,gastrointestinal,48,"All-cause mortality | Major VTE | Symptomatic VTE | Major bleeding | Major bleeding: rivaroxaban versus LMWH | Major bleeding: other direct factor Xa inhibitors (excluding rivaroxaban) versus LMWH | Serious hepatic adverse events | Serious non-hepatic adverse events | Fatal VTE | Asymptomatic distal DVT | Fatal bleeding | Liver enzymes elevation | Minor adverse events | Volume of blood loss | Major bleeding: rivaroxaban 10 mg/day, apixaban 5 mg/day, and other direct factor Xa drugs at low dose vs LMWH ",gastrointestinal
CD011778_pub2_data,10.1002/14651858.CD011778.pub2,other,44,PPD (change from baseline (mm)); 3 months | PPD (change from baseline (mm)); 6 months | BOP (change from baseline (%)); 3 months | BOP (change from baseline (%)); 6 months | CAL (change from baseline (mm)); 3 months | CAL (change from baseline (mm)); 6 months | REC (change from baseline (mm)); 3 months | REC (change from baseline (mm)); 6 months | PPD at 6 months. Subgroup analysis according to type of control (placebo or negative control) | CAL at 6 months. Subgroup analysis according to type of control (placebo or negative control) | PPD (change from baseline(mm)); 3 months,other
CD011793_pub3_data,10.1002/14651858.CD011793.pub3,"respiratory, infection, pain",14,Mortality | Cardiopulmonary bypass time (minutes) | Aortic cross-clamp time (minutes) | Length of hospital stay (days) | Postoperative blood loss (mL) | Deep sternal wound infection | Pain scores | Quality of life | Index admission costs | Intensive care unit stay (days) | Postoperative pulmonary function tests (% FEV1) | Re-exploration | Postoperative atrial fibrillation | Postoperative ventilation time (hours),respiratory OR infection OR pain
CD011800_pub2_data,10.1002/14651858.CD011800.pub2,other,3,Vitamin D status (achieved 25-hydroxyvitamin D level) | Secondary hyperparathyroidism (achieved parathyroid hormone level) | Adverse events | Vitamin D status (change in 25OHD level from baseline) | All-cause mortality | Bone mineral density change – lumbar spine   | Bone mineral density change – hip   | Bone mineral density change – forearm   | Secondary hyperparathyroidism (change in parathyroid hormone level from baseline),other
CD011806_pub2_data,10.1002/14651858.CD011806.pub2,mental_health,19,Clinical response | Clinical relapse (mixed IBD) | Clinical relapse (mixed IBD) – sensitivity analysis (fixed-effect) | Quality of life (QoL) (end of follow-up/change in score) | QoL (end of follow-up/change in score) – sensitivity analysis (fixed-effect) | Withdrawals due to adverse events | Withdrawals due to adverse events – sensitivity analysis (fixed-effect) | Withdrawals due to adverse events – sensitivity analysis (removal of studies at risk of bias) | Disease activity at end of follow-up (Crohn's disease) | Disease activity at end of follow-up (Crohn's disease) – sensitivity analysis (fixed-effect) | Disease activity at end of follow-up – change in disease activity score (Crohn's disease) | Disease activity at end of follow-up (ulcerative colitis) | Disease activity at end of follow-up (ulcerative colitis) – sensitivity analysis (fixed-effect) | Normalisation of vitamin D levels – vitamin D levels at end of study period (continuous outcomes) | Normalisation of vitamin D levels – vitamin D levels at end of study period (continuous outcomes) – sensitivity analysis (fixed effect) | Normalisation of vitamin D levels – numbers of people with vitamin D deficiency at end of study (dichotomous outcome) | Total serious adverse events – mixed dose (mixed population) | Total serious adverse events – mixed dose (mixed population) – sensitivity analysis (fixed-effect) | Total serious adverse events – mixed dose (mixed population) – sensitivity analysis (removal of studies at risk of bias) | Clinical relapse (Crohn's disease) | Withdrawals due to adverse events – high-dose vitamin D versus low-dose vitamin D (mixed population) | Normalisation of vitamin D levels (vitamin D level at end of follow-up) – high-treatment-dose vitamin D versus low-treatment-dose vitamin D (mixed measures) | Normalisation of vitamin D levels (change in vitamin D levels) – high-treatment-dose vitamin D versus low-treatment-dose vitamin D (mixed measures) | Disease activity at end of follow-up – any-treatment-dose vitamin D versus supplemental-dose vitamin D (Crohn's disease – Pediatric Crohn's Disease Activity Index < 10 at end of follow-up) | Normalisation of vitamin D levels (vitamin D level at end of follow-up) – any-treatment-dose vitamin D versus supplemental-dose vitamin D (mixed measures) | Normalisation of vitamin D levels (change in vitamin D levels) – any-treatment-dose vitamin D versus supplemental-dose vitamin D (mixed measures),mental_health
CD011841_pub3_data,10.1002/14651858.CD011841.pub3,other,36,"Mean change in BCVA between baseline and 12 months (± 6) | Recurrence of central serous chorioretinopathy at 12 months (± 6) | Persistent central serous chorioretinopathy at 12 months (± 6) | Mean change in central retinal thickness between baseline and 12 months (± 6) | Recurrent/persistent central serous chorioretinopathy at 12 months (± 6) | Quality of life at 12 months (± 6) | Adverse events | Mean change in contrast sensitivity between baseline and 12 months (± 6) | Adverse events (e.g. loss of vision due to treatment, retinal atrophy, CNV, RPE damage) | Adverse events (e.g. conjunctival hyperemia) | Harms (e.g. loss of vision due to treatment, retinal atrophy, CNV, RPE damage) | Mean change in best-corrected visual acuity between baseline and 12 months (± 6) | Recurrence/persistence of central serous chorioretinopathy at 12 months (± 6) | Mean change in contrast sensitivity at 12 months (± 6) | Adverse events at 12 months",other
CD011851_pub3_data,10.1002/14651858.CD011851.pub3,"hypertension, cardiovascular",11,Fatal cardiovascular events | Fatal cardiovascular events: sensitivity analysis using fixed-effect model | Low-density lipoprotein cholesterol | Low-density lipoprotein cholesterol: sensitivity analysis using fixed-effect model | Low-density lipoprotein cholesterol: sensitivity analysis excluding studies with high risk of bias | Systolic blood pressure | Systolic blood pressure: sensitivity analysis using fixed-effect model | Systolic blood pressure: sensitivity of analysis excluding studies with high risk of bias |  Systolic blood pressure: sensitivity analysis excluding outlier | Diastolic blood pressure | Diastolic blood pressure: sensitivity analysis using fixed-effect model | Diastolic blood pressure: sensitivity analysis excluding studies with high risk of bias | Heart rate | Heart rate: sensitivity analysis using fixed-effect model | Heart rate: sensitivity analysis excluding studies with high risk of bias,hypertension OR cardiovascular
CD011858_pub2_data,10.1002/14651858.CD011858.pub2,"cardiovascular, respiratory, pain, gastrointestinal, renal",25,Extracorporeal circuit thrombosis | Activated partial thromboplastin time | Platelet count | Dialysis vascular access thrombosis | Dialysis adequacy (Kt/V) | Death (any cause) | Plasma anti-Xa level | Potassium | Major bleeding | Minor bleeding | Subcutaneous bleeding | Subconjunctival bleeding | Haemorrhoid bleeding | Vascular access bleeding | Activated clotting time | Thrombin antithrombin complex  | Thrombin time | Prothrombin time | Time to stop bleeding | Dialysis access (urea reduction ratio) | Extracorporeal circuit thrombosis (clotting bloodlines) | Any bleeding | Worsening haemorrhage | Cardiovascular adverse events | Cost per treatment | Cardiovascular death | Blood transfusion | Clotting leading to discontinuation | Gastrointestinal bleeding | Cerebral haemorrhage | Vascular access site haemorrhage | Vascular access thrombosis | Vascular access site haematoma | Vascular access complication | Cardiorespiratory arrest | Pain,cardiovascular OR respiratory OR pain OR gastrointestinal OR renal
